PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7ffeefff7, ar: 260423632, fc: 338, num_access: 260423666, ar_ratio: 100.0 , fc_ratio: 0.0
PAGE pfn: 0x7f01cbb8e, ar: 4655, fc: 229, num_access: 4858, ar_ratio: 95.8 , fc_ratio: 4.7
PAGE pfn: 0x7f01cbb8d, ar: 11296, fc: 7491, num_access: 11516, ar_ratio: 98.1 , fc_ratio: 65.0
PAGE pfn: 0x7f01cbb54, ar: 722, fc: 50, num_access: 731, ar_ratio: 98.8 , fc_ratio: 6.8
PAGE pfn: 0x7f01cbb8c, ar: 1008, fc: 27, num_access: 1011, ar_ratio: 99.7 , fc_ratio: 2.7
PAGE pfn: 0x7f01cbb55, ar: 382, fc: 31, num_access: 389, ar_ratio: 98.2 , fc_ratio: 8.0
PAGE pfn: 0x7f01cbb8f, ar: 25685, fc: 234, num_access: 25783, ar_ratio: 99.6 , fc_ratio: 0.9
PAGE pfn: 0x7f01cbb80, ar: 3542, fc: 18, num_access: 3546, ar_ratio: 99.9 , fc_ratio: 0.5
PAGE pfn: 0x7ffeefff9, ar: 835, fc: 17, num_access: 852, ar_ratio: 98.0 , fc_ratio: 2.0
PAGE pfn: 0x7f01cbb82, ar: 186, fc: 14, num_access: 200, ar_ratio: 93.0 , fc_ratio: 7.0
PAGE pfn: 0x7f01cbb86, ar: 0, fc: 2, num_access: 2, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x5613a7357, ar: 3703, fc: 18, num_access: 3709, ar_ratio: 99.8 , fc_ratio: 0.5
PAGE pfn: 0x7f01cbb81, ar: 190, fc: 8, num_access: 198, ar_ratio: 96.0 , fc_ratio: 4.0
PAGE pfn: 0x5613a735a, ar: 4504, fc: 4430, num_access: 4515, ar_ratio: 99.8 , fc_ratio: 98.1
PAGE pfn: 0x7ffeefffe, ar: 273, fc: 21, num_access: 274, ar_ratio: 99.6 , fc_ratio: 7.7
PAGE pfn: 0x7f01cbb83, ar: 25, fc: 46, num_access: 46, ar_ratio: 54.3 , fc_ratio: 100.0
PAGE pfn: 0x7f01b81c7, ar: 67628, fc: 28, num_access: 67635, ar_ratio: 100.0 , fc_ratio: 0.0
PAGE pfn: 0x7ffeefff6, ar: 3199, fc: 514, num_access: 3291, ar_ratio: 97.2 , fc_ratio: 15.6
PAGE pfn: 0x7f01b8104, ar: 12, fc: 8, num_access: 20, ar_ratio: 60.0 , fc_ratio: 40.0
PAGE pfn: 0x7f01b8106, ar: 12, fc: 3, num_access: 15, ar_ratio: 80.0 , fc_ratio: 20.0
PAGE pfn: 0x7f01b810c, ar: 0, fc: 15, num_access: 15, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f01b8105, ar: 1, fc: 1, num_access: 2, ar_ratio: 50.0 , fc_ratio: 50.0
PAGE pfn: 0x7f01b8110, ar: 0, fc: 7, num_access: 7, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f01b8111, ar: 14, fc: 3, num_access: 17, ar_ratio: 82.4 , fc_ratio: 17.6
PAGE pfn: 0x7f01b8109, ar: 0, fc: 3, num_access: 3, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f01b8112, ar: 24, fc: 5, num_access: 29, ar_ratio: 82.8 , fc_ratio: 17.2
PAGE pfn: 0x7f01b810d, ar: 5, fc: 4, num_access: 9, ar_ratio: 55.6 , fc_ratio: 44.4
PAGE pfn: 0x7f01b810a, ar: 35, fc: 17, num_access: 46, ar_ratio: 76.1 , fc_ratio: 37.0
PAGE pfn: 0x7f01b810b, ar: 37, fc: 22, num_access: 59, ar_ratio: 62.7 , fc_ratio: 37.3
PAGE pfn: 0x7f01b7e28, ar: 560, fc: 32, num_access: 565, ar_ratio: 99.1 , fc_ratio: 5.7
PAGE pfn: 0x7f01b7e24, ar: 7202, fc: 43, num_access: 7212, ar_ratio: 99.9 , fc_ratio: 0.6
PAGE pfn: 0x7f01b7c00, ar: 1835, fc: 19, num_access: 1835, ar_ratio: 100.0 , fc_ratio: 1.0
PAGE pfn: 0x7f01b7c76, ar: 5854, fc: 7314, num_access: 12726, ar_ratio: 46.0 , fc_ratio: 57.5
PAGE pfn: 0x7f01b8108, ar: 13, fc: 1, num_access: 14, ar_ratio: 92.9 , fc_ratio: 7.1
