PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7fffa4de8, ar: 260420426, fc: 260089051, num_access: 260420460, ar_ratio: 100.0 , fc_ratio: 99.9
PAGE pfn: 0x7f48dcbcc, ar: 4655, fc: 427, num_access: 4858, ar_ratio: 95.8 , fc_ratio: 8.8
PAGE pfn: 0x7f48dcbcb, ar: 11296, fc: 9663, num_access: 11516, ar_ratio: 98.1 , fc_ratio: 83.9
PAGE pfn: 0x7f48dcb92, ar: 722, fc: 277, num_access: 731, ar_ratio: 98.8 , fc_ratio: 37.9
PAGE pfn: 0x7f48dcbca, ar: 1008, fc: 57, num_access: 1011, ar_ratio: 99.7 , fc_ratio: 5.6
PAGE pfn: 0x7f48dcb93, ar: 382, fc: 127, num_access: 389, ar_ratio: 98.2 , fc_ratio: 32.6
PAGE pfn: 0x7f48dcbcd, ar: 25685, fc: 7174, num_access: 25783, ar_ratio: 99.6 , fc_ratio: 27.8
PAGE pfn: 0x7f48dcbbe, ar: 3542, fc: 19, num_access: 3546, ar_ratio: 99.9 , fc_ratio: 0.5
PAGE pfn: 0x7fffa4dea, ar: 817, fc: 253, num_access: 853, ar_ratio: 95.8 , fc_ratio: 29.7
PAGE pfn: 0x7f48dcbc0, ar: 186, fc: 14, num_access: 200, ar_ratio: 93.0 , fc_ratio: 7.0
PAGE pfn: 0x7f48dcbc4, ar: 0, fc: 2, num_access: 2, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x560a8f54e, ar: 3703, fc: 2382, num_access: 3709, ar_ratio: 99.8 , fc_ratio: 64.2
PAGE pfn: 0x7f48dcbbf, ar: 190, fc: 8, num_access: 198, ar_ratio: 96.0 , fc_ratio: 4.0
PAGE pfn: 0x560a8f551, ar: 4504, fc: 4515, num_access: 4515, ar_ratio: 99.8 , fc_ratio: 100.0
PAGE pfn: 0x7fffa4dfe, ar: 273, fc: 234, num_access: 274, ar_ratio: 99.6 , fc_ratio: 85.4
PAGE pfn: 0x7f48dcbc1, ar: 25, fc: 46, num_access: 46, ar_ratio: 54.3 , fc_ratio: 100.0
PAGE pfn: 0x7f48c9205, ar: 67628, fc: 12767, num_access: 67635, ar_ratio: 100.0 , fc_ratio: 18.9
PAGE pfn: 0x7fffa4de7, ar: 6461, fc: 3720, num_access: 6497, ar_ratio: 99.4 , fc_ratio: 57.3
PAGE pfn: 0x7f48c9142, ar: 12, fc: 8, num_access: 20, ar_ratio: 60.0 , fc_ratio: 40.0
PAGE pfn: 0x7f48c9144, ar: 12, fc: 3, num_access: 15, ar_ratio: 80.0 , fc_ratio: 20.0
PAGE pfn: 0x7f48c914a, ar: 0, fc: 15, num_access: 15, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c9143, ar: 1, fc: 1, num_access: 2, ar_ratio: 50.0 , fc_ratio: 50.0
PAGE pfn: 0x7f48c914e, ar: 0, fc: 7, num_access: 7, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c914f, ar: 14, fc: 3, num_access: 17, ar_ratio: 82.4 , fc_ratio: 17.6
PAGE pfn: 0x7f48c9147, ar: 0, fc: 3, num_access: 3, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c9150, ar: 24, fc: 5, num_access: 29, ar_ratio: 82.8 , fc_ratio: 17.2
PAGE pfn: 0x7f48c914b, ar: 5, fc: 9, num_access: 9, ar_ratio: 55.6 , fc_ratio: 100.0
PAGE pfn: 0x7f48c9148, ar: 35, fc: 23, num_access: 46, ar_ratio: 76.1 , fc_ratio: 50.0
PAGE pfn: 0x7f48c9149, ar: 37, fc: 22, num_access: 59, ar_ratio: 62.7 , fc_ratio: 37.3
PAGE pfn: 0x7f48c8e28, ar: 560, fc: 171, num_access: 565, ar_ratio: 99.1 , fc_ratio: 30.3
PAGE pfn: 0x7f48c8e24, ar: 7202, fc: 6873, num_access: 7212, ar_ratio: 99.9 , fc_ratio: 95.3
PAGE pfn: 0x7f48c8c00, ar: 1835, fc: 145, num_access: 1835, ar_ratio: 100.0 , fc_ratio: 7.9
PAGE pfn: 0x7f48c8c76, ar: 5854, fc: 12726, num_access: 12726, ar_ratio: 46.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c9146, ar: 13, fc: 1, num_access: 14, ar_ratio: 92.9 , fc_ratio: 7.1
PAGE pfn: 0x7f48c9145, ar: 11, fc: 0, num_access: 11, ar_ratio: 100.0 , fc_ratio: 0.0
PAGE pfn: 0x7f48c914c, ar: 37, fc: 7, num_access: 40, ar_ratio: 92.5 , fc_ratio: 17.5
PAGE pfn: 0x7f48c914d, ar: 14, fc: 5, num_access: 19, ar_ratio: 73.7 , fc_ratio: 26.3
